gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
64,487,[0.30165272 0.78808138],[1.18066317 0.99350198],[0.23148162 0.41875249],[0.10152791 0.09710061],100.0,100.0,54629847.09913144,49581174.1229853,0.01576162755162673,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.6789113680177,49675256.06636182,0.00837504970136082,12
65,484,[0.30166698 0.78393569],[1.18066317 0.99350198],[0.22797912 0.41875249],[0.1017762  0.09654224],100.0,100.0,54636695.25025116,49530700.1511489,0.015678713788680347,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.687786257793869,49530700.1511489,0.00837504970136082,9
66,477,[0.30009251 0.78555362],[1.18066317 0.99350198],[0.22797912 0.41875249],[0.10240739 0.09802981],100.0,100.0,54529551.22990652,49530700.1511489,0.015711072410353685,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.687960476511376,49530700.1511489,0.00837504970136082,8
67,486,[0.298695   0.78732482],[1.18066317 0.99350198],[0.22797912 0.41875249],[0.10299541 0.10014551],100.0,100.0,54433848.88653014,49530700.1511489,0.015746496352489727,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.688068922467403,49530700.1511489,0.00837504970136082,9
68,483,[0.29801616 0.78319384],[1.18066317 0.9880096 ],[0.22603147 0.41875249],[0.10335743 0.09652284],100.0,100.0,54383758.433952756,49165975.52299008,0.01566387687597805,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.691345249083121,49165975.52299008,0.00837504970136082,9
69,487,[0.29612543 0.78114024],[1.18066317 0.98670711],[0.22603147 0.41875249],[0.10366773 0.09356321],100.0,100.0,54253128.30661524,49165975.52299008,0.015622804711944435,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.691463847638248,49165975.52299008,0.00837504970136082,13
70,486,[0.29222151 0.78365175],[1.18066317 0.98670711],[0.22603147 0.41875249],[0.10316309 0.09438472],100.0,100.0,53976000.50890894,49165975.52299008,0.015673034933707867,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.691879018448947,49165975.52299008,0.00837504970136082,14
71,489,[0.29147361 0.78243248],[1.18066317 0.98670711],[0.22492551 0.41875249],[0.10350416 0.09476013],100.0,100.0,53920494.4854598,49140704.45217479,0.01564864965725102,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.69398011176023,49140704.45217479,0.00837504970136082,13
72,483,[0.2845248  0.78949942],[1.18066317 0.99935927],[0.22154615 0.41875249],[0.10164119 0.09468669],100.0,100.0,53429018.02505499,48925153.65029789,0.01578998848161693,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.699192643212109,48925153.65029789,0.00837504970136082,17
73,486,[0.28285428 0.78950538],[1.18066317 0.99935927],[0.2214913  0.41875249],[0.10228147 0.0949268 ],100.0,100.0,53312643.33548049,48786467.681051485,0.01579010755638814,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.699420012539413,48786467.681051485,0.00837504970136082,18
74,469,[0.28156256 0.78556434],[1.18066317 0.99184842],[0.22069409 0.41875249],[0.10257837 0.09026228],100.0,100.0,53217110.00164495,48744998.48471408,0.01571128671636262,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.700882396179627,48744998.48471408,0.00837504970136082,17
75,483,[0.2789933  0.79031186],[1.18066317 0.99184842],[0.2162776  0.41875249],[0.10321191 0.09346231],100.0,100.0,53029729.76527572,48434656.96932608,0.015806237214509144,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.70791500940824,48434656.96932608,0.00837504970136082,18
76,486,[0.27637256 0.79375386],[1.18066317 0.97199405],[0.21549546 0.41875249],[0.10369763 0.09264561],100.0,100.0,52843357.60637321,48342684.35636828,0.015875077115574152,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.709366766377616,48342684.35636828,0.00837504970136082,21
77,488,[0.27163614 0.80098694],[1.18066317 0.98372926],[0.21454056 0.41875249],[0.10291866 0.096032  ],100.0,100.0,52498645.51123692,48174241.142012484,0.016019738716266673,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.721007119874294,48174241.142012484,0.00837504970136082,11
78,495,[0.27128039 0.79895209],[1.18066317 0.98372926],[0.21137991 0.41875249],[0.10312528 0.09541802],100.0,100.0,52473220.82605861,48078712.36369148,0.015979041875138544,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.726042557520331,48078712.36369148,0.00837504970136082,15
79,478,[0.26958985 0.80230453],[1.18066317 0.98372926],[0.20749582 0.41875249],[0.10375162 0.09838327],100.0,100.0,52346878.04545932,47827212.19559528,0.016046090670594624,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.732040027101824,47827212.19559528,0.00837504970136082,17
80,479,[0.26863054 0.8028571 ],[1.18066317 0.97506738],[0.20669861 0.41875249],[0.10410506 0.09792886],100.0,100.0,52274105.76852768,47785742.99925788,0.01605714194484086,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.733439470909321,47785742.99925788,0.00837504970136082,20
81,486,[0.26777299 0.80267575],[1.18066317 0.97506738],[0.20476615 0.41875249],[0.10441329 0.0988745 ],100.0,100.0,52209297.93999193,47620219.879092276,0.01605351490504856,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.736602758105726,47620219.879092276,0.00837504970136082,22
82,491,[0.26408576 0.81094005],[1.18066317 0.97506738],[0.20476615 0.41875249],[0.10500457 0.09999384],100.0,100.0,51942389.189771995,47620219.879092276,0.016218800976746904,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.736861137260933,47620219.879092276,0.00837504970136082,20
83,487,[0.25838202 0.81759008],[1.18066317 0.97506738],[0.20476615 0.41875249],[0.10119385 0.09936057],100.0,100.0,51525057.726654775,47620219.879092276,0.01635180167385349,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.7371524174274695,47620219.879092276,0.00837504970136082,19
84,486,[0.25738249 0.81898677],[1.18066317 0.97643225],[0.20476615 0.41875249],[0.10155421 0.10006214],100.0,100.0,51445461.81761112,47544397.23085268,0.016379735426799203,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.73720601285005,47620129.93422908,0.00837504970136082,21
